,searched_zipcode,searched_lat,searched_lng,searched_address,searched_state,searched_city,searched_metro,latitude,longitude,distance,loc_name,loc_number,url,address,cuisines,delivery_time_raw,delivery_time,review_count,review_rating,cuisines split
9758,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3468239,-71.0685841,1.862452346,Rome Pizza and Grill,267504,https://www.doordash.com/store/267504/?pickup=false,"Rome pizza & Grill, 416 Tremont St, Boston, MA 02116, USA",Pizza|Italian|Salads,42 - 52,47,118,4.3,"['Pizza', 'Italian', 'Salads']"
9761,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.354744,-71.0543925,1.607915962,Slate Bar & Grill,91304,https://www.doordash.com/store/91304/?pickup=false,"Slate Bar & Grill, 109 High St, Boston, MA 02110, USA",Salads|Melts|Soup|Burgers,41 - 51,46,12,4.3,"['Salads', 'Melts', 'Soup', 'Burgers']"
9764,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3543574,-71.0585285,1.727208901,Falafel King,267310,https://www.doordash.com/store/267310/?pickup=false,"62 Summer St, Boston, MA 02110, USA",Lebanese|Vegetarian|Salads,37 - 47,42,14,4.4,"['Lebanese', 'Vegetarian', 'Salads']"
9767,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.354164,-71.056624,1.650862229,Cosi,416794,https://www.doordash.com/store/416794/?pickup=false,"133 Federal Street, Boston, MA 02110, USA",Soup|Melts|Sandwiches|Salads|Pizza,33 - 43,38,427,4.5,"['Soup', 'Melts', 'Sandwiches', 'Salads', 'Pizza']"
9770,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3511246,-71.0451305,1.139774764,Miznon,23022894,https://www.doordash.com/store/23022894/?pickup=false,"Miznon, 107 Seaport Blvd, Boston, MA 02210, USA",Israeli cuisine|Wraps|Beer,34 - 44,39,5,5.0,"['Israeli cuisine', 'Wraps', 'Beer']"
9773,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.35664368,-71.06135559,1.941083574,Tasty BBQ LLC,214834,https://www.doordash.com/store/214834/?pickup=false,"1 Hamilton Pl, Boston, MA 02108, USA",Barbecue|Sandwiches|Chicken|Sweets,42 - 52,47,436,4.2,"['Barbecue', 'Sandwiches', 'Chicken', 'Sweets']"
9776,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.360189,-71.0551145,1.937059784,Monkey Bar,1051437,https://www.doordash.com/store/1051437/?pickup=false,"4 S Market St, Boston, MA 02109, USA",Juice Bar|Smoothies,38 - 48,43,3,4.3,"['Juice Bar', 'Smoothies']"
9779,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3541468,-71.0597102,1.759719275,Good Bite,692048,https://www.doordash.com/store/692048/?pickup=false,"Good Bite, 25 Chauncy St, Boston, MA 02110, USA",Breakfast|Wraps|Sandwiches|Salads|Chicken,35 - 45,40,2,5.0,"['Breakfast', 'Wraps', 'Sandwiches', 'Salads', 'Chicken']"
9782,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3535197,-71.0627697,1.847310886,Sip Wine Bar & Kitchen,7612,https://www.doordash.com/store/7612/?pickup=false,"581 Washington Street, Boston, MA 02111, USA",Tapas/Small Plates|Tacos|Fries|Salads|Soup,43 - 53,48,150,4.5,"['Tapas/Small Plates', 'Tacos', 'Fries', 'Salads', 'Soup']"
9785,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.35455036,-71.05373199,1.576650327,Eggwich,901519,https://www.doordash.com/store/901519/?pickup=false,"147 Pearl St, Boston, MA 02110, USA",Breakfast|Sandwiches,35 - 45,40,36,4.7,"['Breakfast', 'Sandwiches']"
9788,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3603126,-71.0547675,1.934954329,The Boston Chipyard,2472034,https://www.doordash.com/store/2472034/?pickup=false,"The Boston Chipyard, Inc., 1 Faneuil Hall Market Place, Boston, MA 02109, USA",Cookies,38 - 48,43,51,4.8,['Cookies']
9791,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3571184,-71.0574392,1.833148759,Render Coffee,267354,https://www.doordash.com/store/267354/?pickup=false,"121 Devonshire St, Boston, MA 02108, USA",Cafe|Coffee & Tea|Pastries,36 - 46,41,10,4.8,"['Cafe', 'Coffee & Tea', 'Pastries']"
9794,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3537982,-71.0584511,1.696958947,Noon Mediterranean,66131,https://www.doordash.com/store/66131/?pickup=false,"95 Summer St, Boston, MA 02110, USA",Mediterranean|Falafel|Greek|Sandwiches|Salads,38 - 48,43,426,4.5,"['Mediterranean', 'Falafel', 'Greek', 'Sandwiches', 'Salads']"
9797,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3406145,-71.0670444,1.665599033,BRASSERIE,2323477,https://www.doordash.com/store/2323477/?pickup=false,"Brasserie, 560 Harrison Ave, Boston, MA 02118, USA",French|Dessert|Salads,38 - 48,43,36,4.9,"['French', 'Dessert', 'Salads']"
9800,2125,42.3157363,-71.0527482,"999 Dorchester Ave, Dorchester, MA 02125, USA",MA,Dorchester,BO,42.3489645,-71.0407695,0.914438259,Morton's The Steakhouse,937800,https://www.doordash.com/store/937800/?pickup=false,"2 Seaport Ln, Boston, MA 02210, USA",Steakhouses|Butcher|Appetizers|Seafood|Dessert,36 - 46,41,306,4.7,"['Steakhouses', 'Butcher', 'Appetizers', 'Seafood', 'Dessert']"
